,abbreviation,expansion,whole_set
0,-r,rinne test negative,"['-r', 'rinne test negative']"
1,"1,25(oh)2d3","1,25-dihydroxyvitamin d3","['1', '25(oh)2d3', '25-dihydroxyvitamin d3']"
2,1/2ns,half-normal saline,"['1/2ns', 'half-normal saline']"
3,1° avb,first degree atrioventricular block,"['1° avb', 'first degree atrioventricular block']"
4,2/2,secondary to,"['2/2', 'secondary to']"
5,25(oh)d3,25-hydroxyvitamin d3,"['25(oh)d3', '25-hydroxyvitamin d3']"
6,3tc,lamivudine,"['3tc', 'lamivudine']"
7,5-fu,5-fluorouracil,"['5-fluorouracil', '5-fu']"
8,5-hiaa,5-hydroxyindoleacetic acid,"['5-hiaa', '5-hydroxyindoleacetic acid', 'hiaa']"
9,6-mp,6-mercaptopurine,"['6-mercaptopurine', '6-mp']"
10,6-tg,6-thioguanine,"['6-tg', '6-thioguanine']"
11,a&e,accident and emergency,"['a&e', 'accident and emergency']"
12,a&o,alert and oriented,"['a&o', 'a/o', 'alert and oriented']"
13,a&p,anterior posterior,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
14,a&p,assessment and plan,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
15,a&p,assessment and plans,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
16,a&w,alive and well,"['a&w', 'alive and well']"
17,a-a,alveolar arterial gradient,"['a-a', 'alveolar arterial gradient']"
18,a-fib,atrial fibrillation,"['a-fib', 'af', 'afeb', 'afebrile', 'afib', 'afvss', 'amniotic fluid', 'anterior fontanelle', 'antifungal', 'arthritis foundation', 'atrial fibrillation', 'avss', 'vital signs stable', 'vss']"
19,a-line,arterial catheter,"['a-line', 'arterial catheter']"
20,a-mibi,adenosine mibi,"['a-mibi', 'adenosine mibi']"
21,a-r,apical radial,"['a-r', 'apical radial']"
22,a-t,ataxia-telangiectasia,"['a-t', 'ataxia-telangiectasia']"
23,a-z-test,aschheim-zondek test,"['a-z-test', 'aschheim-zondek test']"
24,a.c.,before meals,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
25,a.c.h.s,before meals and at bedtime,"['a.c.h.s', 'ac&hs', 'achs', 'afternoon', 'at bedtime', 'bedtime dosing', 'before eating', 'before meals and at bedtime', 'every night', 'h.s.', 'half strength', 'half-strength', 'heart sounds', 'heel-shin', 'high school', 'history', 'hor. decub.', 'hora somni', 'hs', 'hudson south', 'hx', 'o.n.', 'pacemaker', 'pcm', 'pm', 'polymyositis', 'post meridiem', 'postmortem', 'ppm', 'q.n.', 'qhs']"
26,a.d.,right ear,"['a.d.', 'right ear']"
27,a.l.,left ear,"['a.l.', 'a.s.', 'left ear']"
28,a.m.,morning,"['a.m.', 'am', 'morning']"
29,a.p,active/passive,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
30,a.p,anterior posterior,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
31,a.p,assessment and plan,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
32,a.s.,left ear,"['a.l.', 'a.s.', 'left ear']"
33,a.u.,both ears,"['a.u.', 'both ears']"
34,a/b,apnea and bradycardia,"['a/b', 'apnea and bradycardia']"
35,a/c,anterior chamber,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
36,a/g,albumin to globulin ratio,"['a/g', 'albumin to globulin ratio']"
37,a/k,above the knee,"['a/k', 'above the knee']"
38,a/o,alert and oriented,"['a&o', 'a/o', 'alert and oriented']"
39,a/p,abdomen/pelvis,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
40,a/p,active/passive,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
41,a/p,anterior posterior,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
42,a/p,anterior/posterior,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
43,a/p,assessment and plan,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
